route_number,route_name,stop_number,distance_km,location,page_number
001,කොළඹ - මහනුවර,001,,කොළඹ - මහනුවර,2
001,කොළඹ - මහනුවර,0609,,සී,2
001,කොළඹ - මහනුවර,5,,])පහල කඩුගන්නාවට හෙ; (51)පහල කඩුගන්නාව සිට (18)නිහාර්යට,2
001,කොළඹ - මහනුවර,0,0.00,කොළඹ,2
001,කොළඹ - මහනුවර,46,323.00,අන්චාරම,2
001,කොළඹ - මහනුවර,1,27.00,මාලිගාචත්ත,2
001,කොළඹ - මහනුවර,47,329.00,මාචනැල්ල,2
001,කොළඹ - මහනුවර,2,35.00,කැළණිනිස්ස,2
001,කොළඹ - මහනුවර,48,336.00,බෙලිගම්මන,2
001,කොළඹ - මහනුවර,3,45.00,කණුච/බියගම පාර,2
001,කොළඹ - මහනුවර,49,341.00,Bae,2
001,කොළඹ - මහනුවර,4,55.00,තොරණ හන්දිය,2
001,කොළඹ - මහනුවර,50,348.00,ගනේතැන්න,2
001,කොළඹ - මහනුවර,5,66.00,කැළණිය චිශ්ච චිදා9ාලය,2
001,කොළඹ - මහනුවර,51,353.00,පහල කඩුගන්නාව,2
001,කොළඹ - මහනුවර,6,76.00,කිරිබත්ගොඩ,2
001,කොළඹ - මහනුවර,52,360.00,කඩුගන්නාව,2
001,කොළඹ - මහනුවර,7,86.00,මහර හන්දිය,2
001,කොළඹ - මහනුවර,53,365.00,හේනාචල (රෝහල පාර),2
001,කොළඹ - මහනුවර,8,90.00,කඩචත,2
001,කොළඹ - මහනුවර,54,372.00,පිලිමතලාව,2
001,කොළඹ - මහනුවර,10,104.00,ඉඳිගහමුල හංදිය,2
001,කොළඹ - මහනුවර,56,384.00,කිර්බත්කුඹුර,2
001,කොළඹ - මහනුවර,11,111.00,කිරිල්ලචල,2
001,කොළඹ - මහනුවර,57,391.00,පේරාදෝණිය,2
001,කොළඹ - මහනුවර,12,116.00,ට්‍රැක්මෙ? හංදිය,2
001,කොළඹ - මහනුවර,58,396.00,ගැටඹේ,2
001,කොළඹ - මහනුවර,13,123.00,මුදුන්ගොඩ(පබාවී),2
001,කොළඹ - මහනුවර,59,403.00,මූල්ගම්පොල,2
001,කොළඹ - මහනුවර,14,130.00,මිරිස්චත්ත,2
001,කොළඹ - මහනුවර,60,408.00,මහනුචර,2
001,කොළඹ - මහනුවර,15,135.00,යක්කල,2
001,කොළඹ - මහනුවර,16,140.00,අළුත්ගම,2
001,කොළඹ - මහනුවර,17,147.00,කළගෙඩිහේන,2
001,කොළඹ - මහනුවර,18,152.00,තිහාරිය,2
001,කොළඹ - මහනුවර,19,159.00,නිට්ටඹුව සංඝබෝධි මහා විදා90ාලය,2
001,කොළඹ - මහනුවර,20,164.00,නිට්ටඹුච,2
001,කොළඹ - මහනුවර,21,171.00,කලල්පිටිය,2
001,කොළඹ - මහනුවර,22,176.00,පස්‍යාල,2
001,කොළඹ - මහනුවර,23,183.00,කජුගම,2
001,කොළඹ - මහනුවර,24,189.00,රදාවඩුන්න,2
001,කොළඹ - මහනුවර,25,195.00,චේචැල්දෝොණිය,2
001,කොළඹ - මහනුවර,26,201.00,4-880,2
001,කොළඹ - මහනුවර,27,208.00,දුම්මලදෝොණිය,2
001,කොළඹ - මහනුවර,28,213.00,චරකාපොල,2
001,කොළඹ - මහනුවර,29,220.00,අඹේපුස්ස,2
001,කොළඹ - මහනුවර,30,227.00,මාහේන,2
001,කොළඹ - මහනුවර,31,232.00,තෙලංගමුව,2
001,කොළඹ - මහනුවර,32,239.00,ගස්නාව චත්ත හන්දිය,2
001,කොළඹ - මහනුවර,33,,නෙළුම්දොණිය,2
001,කොළඹ - මහනුවර,34,251.00,බටපොතැල්ල කන්දාඋඩ,2
001,කොළඹ - මහනුවර,35,256.00,සියඹලාපිටිය,2
001,කොළඹ - මහනුවර,36,263.00,බල්ලපාන හන්දිය,2
001,කොළඹ - මහනුවර,37,,| 268.00| ගලිගමුව,2
001,කොළඹ - මහනුවර,38,275.00,අඹන්පිටිය,2
001,කොළඹ - මහනුවර,39,280.00,රංචල හන්දිය,2
001,කොළඹ - මහනුවර,40,287.00,කෑගල්ල,2
001,කොළඹ - මහනුවර,41,292.00,මීපිටිය,2
001,කොළඹ - මහනුවර,42,299.00,කරඬුපොන,2
001,කොළඹ - මහනුවර,43,304.00,මොලගොඩ,2
001,කොළඹ - මහනුවර,44,311.00,මංගලගම,2
001,කොළඹ - මහනුවර,45,,| 317.00] උතුචන්කන්දෘ,2
Unknown,Unknown,001,,කොළඹ - කෑගල්ල,3
Unknown,Unknown,0609,,සී,3
Unknown,Unknown,3,,])තොලංගමුවට හෙ: (31) තෝලංගමුව සිට ( 10)ඉදිගහමුල හංදියට,3
Unknown,Unknown,0,0.00,කොළඹ,3
Unknown,Unknown,1,27.00,මාලිගාචත්ත,3
Unknown,Unknown,2,35.00,කැළණිතිස්ස,3
Unknown,Unknown,3,45.00,කණුච/බියගම පාර,3
Unknown,Unknown,4,55.00,තොරණ හන්දිය,3
Unknown,Unknown,5,66.00,කැළණිය චිශ්ච චිදා9ාලය,3
Unknown,Unknown,6,76.00,කිරිබත්ගොඩ,3
Unknown,Unknown,7,,මහර හන්දිය,3
Unknown,Unknown,8,90.00,කඩචත,3
Unknown,Unknown,9,97.00,ගෙනහේන හංදිය,3
Unknown,Unknown,10,104.00,ඉඳිගහමුල හංදිය,3
Unknown,Unknown,11,111.00,කිරිල්ලවල,3
Unknown,Unknown,12,,| 116.00| ට්‍රැක්මෙ? හංදිය,3
Unknown,Unknown,13,123.00,මුදුන්ගොඩ(පබාවී),3
Unknown,Unknown,14,130.00,මිරිස්චත්ත,3
Unknown,Unknown,15,135.00,යක්කල,3
Unknown,Unknown,16,140.00,අළුත්ගම,3
Unknown,Unknown,17,147.00,කළගෙඩිහේන,3
Unknown,Unknown,18,152.00,තිහාරිය,3
Unknown,Unknown,19,159.00,නිට්ටඹුව සංඝබෝධි මහා විදා90ාලය,3
Unknown,Unknown,20,164.00,නිට්ටඹුච,3
Unknown,Unknown,21,,කලල්පිටිය,3
Unknown,Unknown,22,176.00,පස්‍යාල,3
Unknown,Unknown,23,183.00,කජුගම,3
Unknown,Unknown,24,189.00,රදාවඩුන්න,3
Unknown,Unknown,25,195.00,චේචැල්දෝොණිය,3
Unknown,Unknown,26,201.00,4-880,3
Unknown,Unknown,27,208.00,දුම්මලදෝොණිය,3
Unknown,Unknown,28,213.00,චරකාපොල,3
Unknown,Unknown,29,220.00,අඹේපුස්ස,3
Unknown,Unknown,30,227.00,මාහේන,3
Unknown,Unknown,31,232.00,තෙලංගමුව,3
Unknown,Unknown,32,239.00,ගස්නාව චත්ත හන්දිය,3
Unknown,Unknown,38,244.00,නෙළුම්දෝණිය,3
Unknown,Unknown,34,251.00,බටපොතැල්ල කන්දාඋඩ,3
Unknown,Unknown,35,256.00,සියඹලාපිටිය,3
Unknown,Unknown,36,263.00,බල්ලපාන හන්දිය,3
Unknown,Unknown,37,,| 268.00| ගලිගමුව,3
Unknown,Unknown,38,275.00,අඹන්ජිටිය,3
Unknown,Unknown,39,280.00,රංචල හන්දිය,3
Unknown,Unknown,40,287.00,කෑගල්ල,3
